t,Antenna ID,Event Code,Device ID,x,y, Tile ID
3,23,2,245,599987.832676,651933.067514,921
3,9,2,276,601026.924381,649883.108971,364
3,99,1,299,600098.666177,649273.827706,193
3,161,2,291,600096.094826,651776.915437,868
3,5,1,280,599966.130508,648880.134212,83
3,35,0,296,600632.185614,653157.693777,1251
3,131,2,234,601514.911596,650068.348954,423
3,170,1,283,601625.469723,650151.753035,451
3,159,2,230,601129.055069,653193.950076,1256
3,47,0,283,601625.469723,650151.753035,451
3,159,1,297,600632.185614,653157.693777,1251
3,159,1,296,600632.185614,653157.693777,1251
3,50,0,280,599966.130508,648880.134212,83
3,161,2,292,600096.094826,651776.915437,868
3,103,0,273,600292.794358,650705.705462,600
3,99,1,253,600334.801717,649508.319291,276
3,175,0,268,601071.987545,651091.993044,688
3,212,1,273,600292.794358,650705.705462,600
3,190,2,242,600008.586770,650412.098893,516
3,176,2,257,600520.550439,652169.886369,980
3,170,1,284,601625.469723,650151.753035,451
3,47,0,284,601625.469723,650151.753035,451
3,82,0,253,600334.801717,649508.319291,276
4,161,1,292,599952.166551,651893.730302,893
4,103,1,273,600195.744990,649919.004013,383
4,176,1,257,600377.137792,652283.952418,1005
4,177,0,230,601162.302202,652195.845655,986
4,61,1,270,601457.314435,649817.438046,368
4,200,0,241,600131.509695,651430.759772,787
4,161,1,291,599952.166551,651893.730302,893
4,200,0,242,600131.509695,651430.759772,787
4,140,0,253,600216.834070,649653.335096,302
4,101,1,299,599999.643143,649391.171996,219
4,23,0,291,599952.166551,651893.730302,893
4,171,0,284,601474.697887,650298.746395,476
4,35,2,297,600493.007166,653263.051499,1277
4,131,2,234,601514.911596,650068.348954,423
4,23,2,259,600078.941324,651854.245087,895
4,175,1,268,601159.144747,650051.779337,419
4,23,2,245,599987.832676,651933.067514,921
4,9,2,276,601026.924381,649883.108971,364
4,190,1,241,600131.509695,651430.759772,787
4,43,0,270,601457.314435,649817.438046,368
4,72,0,299,599999.643143,649391.171996,219
4,82,1,253,600216.834070,649653.335096,302
4,47,1,283,601474.697887,650298.746395,476
4,179,0,257,600377.137792,652283.952418,1005
4,194,2,289,600384.426337,650135.919067,439
4,47,1,284,601474.697887,650298.746395,476
4,171,0,283,601474.697887,650298.746395,476
4,23,0,292,599952.166551,651893.730302,893
4,50,1,280,600159.609128,648858.187850,85
4,110,0,273,600195.744990,649919.004013,383
4,190,1,242,600131.509695,651430.759772,787
4,35,2,296,600493.007166,653263.051499,1277
4,159,1,230,601162.302202,652195.845655,986
4,126,0,268,601159.144747,650051.779337,419
4,23,2,246,599987.832676,651933.067514,921
4,71,0,280,600159.609128,648858.187850,85
5,126,2,268,601159.144747,650051.779337,419
5,23,2,292,599952.166551,651893.730302,893
5,200,1,242,601153.166180,651525.617877,824
5,35,1,296,600373.529431,653390.314852,1302
5,171,1,284,601326.463487,650448.298249,529
5,197,0,230,600660.717662,651332.288618,765
5,23,2,245,599987.832676,651933.067514,921
5,58,0,283,601326.463487,650448.298249,529
5,58,0,284,601326.463487,650448.298249,529
5,23,2,291,599952.166551,651893.730302,893
5,125,0,241,601153.166180,651525.617877,824
5,9,2,276,601026.924381,649883.108971,364
5,125,0,242,601153.166180,651525.617877,824
5,23,2,259,600078.941324,651854.245087,895
5,171,1,283,601326.463487,650448.298249,529
5,110,2,273,600195.744990,649919.004013,383
5,194,2,289,600384.426337,650135.919067,439
5,72,2,299,599903.437672,649510.837157,272
5,43,2,270,601457.314435,649817.438046,368
5,177,1,230,600660.717662,651332.288618,765
5,110,0,253,600091.015093,649791.594036,328
5,131,2,234,601514.911596,650068.348954,423
5,71,2,280,600255.040228,649027.918590,140
5,35,1,297,600373.529431,653390.314852,1302
5,140,1,253,600091.015093,649791.594036,328
5,130,0,257,600242.429502,652408.177728,1058
5,23,2,246,599987.832676,651933.067514,921
5,137,0,297,600373.529431,653390.314852,1302
5,179,1,257,600242.429502,652408.177728,1058
5,200,1,241,601153.166180,651525.617877,824
5,137,0,296,600373.529431,653390.314852,1302
6,130,1,257,600141.005250,652560.792839,1084
6,58,2,284,601197.974211,650615.120610,582
6,199,0,292,599970.876550,651709.309596,866
6,177,0,230,600971.571311,652281.334357,1011
6,54,0,257,600141.005250,652560.792839,1084
6,110,2,253,600091.015093,649791.594036,328
6,131,2,234,601514.911596,650068.348954,423
6,125,2,242,601153.166180,651525.617877,824
6,9,2,276,601026.924381,649883.108971,364
6,58,2,283,601197.974211,650615.120610,582
6,117,0,296,600252.471518,653516.076022,1355
6,72,1,299,599799.318152,649623.683818,298
6,194,2,289,600384.426337,650135.919067,439
6,23,2,259,600078.941324,651854.245087,895
6,71,2,280,600255.040228,649027.918590,140
6,137,1,296,600252.471518,653516.076022,1355
6,23,1,291,599970.876550,651709.309596,866
6,137,1,297,600252.471518,653516.076022,1355
6,87,0,299,599799.318152,649623.683818,298
6,114,0,270,600831.599683,650572.761229,551
6,23,1,292,599970.876550,651709.309596,866
6,125,2,241,601153.166180,651525.617877,824
6,199,0,291,599970.876550,651709.309596,866
6,23,2,246,599987.832676,651933.067514,921
6,197,1,230,600971.571311,652281.334357,1011
6,201,0,268,600410.273702,650778.988449,601
6,23,2,245,599987.832676,651933.067514,921
6,117,0,297,600252.471518,653516.076022,1355
6,43,1,270,600831.599683,650572.761229,551
6,110,2,273,600195.744990,649919.004013,383
6,126,1,268,600410.273702,650778.988449,601
7,131,2,234,601514.911596,650068.348954,423
7,147,0,291,600014.747555,651529.208524,813
7,87,2,299,599799.318152,649623.683818,298
7,13,0,283,601056.522961,650771.103744,607
7,23,2,259,600078.941324,651854.245087,895
7,9,2,276,601026.924381,649883.108971,364
7,58,1,283,601056.522961,650771.103744,607
7,125,1,242,600408.470275,652231.456416,1006
7,117,2,297,600252.471518,653516.076022,1355
7,179,0,242,600408.470275,652231.456416,1006
7,201,2,268,600410.273702,650778.988449,601
7,13,0,284,601056.522961,650771.103744,607
7,71,2,280,600255.040228,649027.918590,140
7,199,1,292,600014.747555,651529.208524,813
7,110,2,273,600195.744990,649919.004013,383
7,179,0,241,600408.470275,652231.456416,1006
7,199,1,291,600014.747555,651529.208524,813
7,117,2,296,600252.471518,653516.076022,1355
7,147,0,292,600014.747555,651529.208524,813
7,114,1,270,600129.089020,651257.239740,733
