226,2,253,600167.568406,650188.904467,436
201,2,268,600410.273702,650778.9884489999,601
194,2,289,600384.426337,650135.919067,439
188,2,280,600642.241822,649299.010702,198
175,1,284,601292.4101890001,651187.458536,718
175,1,283,601292.4101890001,651187.458536,718
162,1,257,601639.25541,651003.669978,694
158,0,242,601087.7023069999,650369.54797,500
158,0,241,601087.7023069999,650369.54797,500
154,0,270,601406.887453,652061.047688,962
148,2,230,600284.643085,653002.162496,1221
131,2,292,601542.460446,649975.555323,396
131,2,291,601542.460446,649975.555323,396
131,2,234,601514.911596,650068.348954,423
109,1,242,601087.7023069999,650369.54797,500
109,1,241,601087.7023069999,650369.54797,500
97,2,276,600417.844322,650529.417888,547
79,1,270,601406.887453,652061.047688,962
71,2,299,600078.6436300001,648822.477079,85
59,0,284,601292.4101890001,651187.458536,718
59,0,283,601292.4101890001,651187.458536,718
48,0,257,601639.25541,651003.669978,694
45,2,273,600098.6067199999,649132.313536,166
31,2,297,600840.337933,652887.313852,1172
31,2,296,600840.337933,652887.313852,1172
23,2,259,600078.941324,651854.245087,895
23,2,246,599987.8326760001,651933.067514,921
23,2,245,599987.8326760001,651933.067514,921
