194,2,289,600384.426337,650135.919067,439
187,1,253,600334.105244,650345.996778,492
181,2,284,601444.1821689999,651442.91114,800
181,2,283,601444.1821689999,651442.91114,800
170,2,242,601671.593975,650045.79238,424
170,2,241,601671.593975,650045.79238,424
166,2,257,601428.150315,650692.507349,584
148,2,230,600284.643085,653002.162496,1221
143,1,297,600030.651665,651928.3534,921
143,1,296,600030.651665,651928.3534,921
131,2,234,601514.911596,650068.348954,423
97,2,276,600417.844322,650529.417888,547
97,0,253,600334.105244,650345.996778,492
95,2,268,601425.552067,651021.580236,692
87,1,273,600722.831242,649476.799049,253
80,2,270,600182.323101,651253.894129,734
71,0,299,600236.8767060001,649112.8991810001,167
69,2,292,601976.9827520001,650184.426394,454
69,2,291,601976.9827520001,650184.426394,454
66,1,299,600236.8767060001,649112.8991810001,167
65,2,280,601027.1240899999,649330.715251,229
65,0,273,600722.831242,649476.799049,253
23,0,297,600030.651665,651928.3534,921
23,0,296,600030.651665,651928.3534,921
23,2,259,600078.941324,651854.245087,895
23,2,246,599987.8326760001,651933.067514,921
23,2,245,599987.8326760001,651933.067514,921
