Antenna_Id,x,y,geometry
37,600815.0169060001,650686.528241,POINT (600815.0169060001 650686.528241)
199,600030.652318,651647.423264,POINT (600030.652318 651647.423264)
50,599957.709426,649220.8636729999,POINT (599957.709426 649220.8636729999)
89,600787.689685,651701.948873,POINT (600787.689685 651701.948873)
97,600533.257962,650393.9986810001,POINT (600533.257962 650393.9986810001)
129,600533.257962,650393.9986810001,POINT (600533.257962 650393.9986810001)
193,600977.8138850001,650597.881726,POINT (600977.8138850001 650597.881726)
199,600236.827208,651604.631805,POINT (600236.827208 651604.631805)
161,600236.827208,651604.631805,POINT (600236.827208 651604.631805)
71,600245.76195,648833.420434,POINT (600245.76195 648833.420434)
45,600036.30377,649088.9615409999,POINT (600036.30377 649088.9615409999)
180,600817.565795,651521.157089,POINT (600817.5657949999 651521.157089)
207,600293.621224,649369.46828,POINT (600293.621224 649369.46828)
37,600977.8138850001,650597.881726,POINT (600977.8138850001 650597.881726)
197,600817.565795,651521.157089,POINT (600817.5657949999 651521.157089)
99,600293.621224,649369.46828,POINT (600293.621224 649369.46828)
97,600417.844322,650529.417888,POINT (600417.844322 650529.417888)
50,600036.30377,649088.9615409999,POINT (600036.30377 649088.9615409999)
66,600245.76195,648833.420434,POINT (600245.76195 648833.420434)
66,600369.39222,648682.9838170001,POINT (600369.39222 648682.9838170001)
197,600979.922977,651436.195943,POINT (600979.922977 651436.195943)
161,600444.016039,651642.2081619999,POINT (600444.016039 651642.2081619999)
158,601128.643571,650490.125209,POINT (601128.643571 650490.125209)
79,600444.016039,651642.2081619999,POINT (600444.016039 651642.2081619999)
193,601128.643571,650490.125209,POINT (601128.643571 650490.125209)
221,600203.682856,649993.690708,POINT (600203.682856 649993.690708)
123,600203.682856,649993.690708,POINT (600203.682856 649993.690708)
137,600407.311058,653211.244496,POINT (600407.311058 653211.244496)
45,599985.0770449999,648944.2167100001,POINT (599985.0770449999 648944.2167100001)
35,600407.311058,653211.244496,POINT (600407.311058 653211.244496)
32,600979.922977,651436.195943,POINT (600979.922977 651436.195943)
219,600369.39222,648682.9838170001,POINT (600369.39222 648682.9838170001)
