t,AntennaId,EventCode,PhoneId,x,y,TileId
0,18,0,306,601243.519296,651255.806353,744
0,18,0,1346,601488.044704,651477.957364,801
0,18,0,1433,601348.849635,651405.522954,799
1,18,1,1433,601065.065925,651724.153892,877
1,18,1,1346,600734.684493,652329.550880,1036
1,18,1,306,600456.200348,651831.311491,898
2,18,0,878,601422.102244,651430.409045,800
2,18,0,877,601422.102244,651430.409045,800
3,18,0,1453,601324.153843,651357.750901,772
3,18,1,878,601385.098770,650232.544969,476
3,18,1,877,601385.098770,650232.544969,476
4,18,2,1453,601324.153843,651357.750901,772
5,18,2,1453,601324.153843,651357.750901,772
6,18,2,1453,601324.153843,651357.750901,772
7,18,2,1453,601324.153843,651357.750901,772
7,18,0,616,601222.436598,651411.953396,798
7,18,0,615,601222.436598,651411.953396,798
8,18,2,1453,601324.153843,651357.750901,772
8,18,0,1180,601309.356725,651359.801372,772
8,18,1,616,601371.072587,651041.979869,691
8,18,1,615,601371.072587,651041.979869,691
8,18,0,509,601421.324300,651438.170452,800
8,18,0,508,601421.324300,651438.170452,800
9,18,2,1453,601324.153843,651357.750901,772
9,18,0,1335,601377.163840,651374.650874,772
9,18,1,1180,601298.815967,650939.691465,664
9,18,1,509,601509.817833,651806.715360,909
9,18,1,508,601509.817833,651806.715360,909
10,18,2,1453,601324.153843,651357.750901,772
10,18,1,1335,601441.436550,650979.953279,665
10,18,0,1296,601246.146738,651422.028695,798
11,18,1,1453,600515.562960,652024.135207,953
11,18,1,1296,601013.540879,650373.365921,499
14,18,0,1160,601393.183701,651405.090103,800
14,18,0,1159,601393.183701,651405.090103,800
15,18,1,1160,601101.216883,651731.042706,878
15,18,1,1159,601101.216883,651731.042706,878
16,18,0,1043,601359.929109,651456.871659,799
17,18,2,1043,601359.929109,651456.871659,799
18,18,1,1043,600711.530247,652387.909713,1036
19,18,0,1186,601293.492725,651349.246221,772
19,18,0,1185,601293.492725,651349.246221,772
20,18,1,1186,601796.824994,650427.602796,534
20,18,1,1185,601796.824994,650427.602796,534
20,18,0,1047,601334.069624,651472.861754,799
21,18,1,1047,601639.181997,651267.690600,748
21,18,0,747,601436.498169,651433.297789,800
21,18,0,746,601436.498169,651433.297789,800
22,18,2,747,601436.498169,651433.297789,800
22,18,2,746,601436.498169,651433.297789,800
23,18,2,747,601436.498169,651433.297789,800
23,18,2,746,601436.498169,651433.297789,800
24,18,0,1160,601359.603344,651371.397821,772
24,18,0,1159,601359.603344,651371.397821,772
24,18,2,747,601436.498169,651433.297789,800
24,18,2,746,601436.498169,651433.297789,800
25,18,2,1160,601359.603344,651371.397821,772
25,18,2,1159,601359.603344,651371.397821,772
25,18,2,747,601436.498169,651433.297789,800
25,18,2,746,601436.498169,651433.297789,800
25,18,0,420,601240.987679,651448.717062,798
25,18,0,419,601240.987679,651448.717062,798
25,18,0,217,601373.422960,651482.993233,799
26,18,1,1160,601082.960792,651710.453304,878
26,18,1,1159,601082.960792,651710.453304,878
26,18,2,747,601436.498169,651433.297789,800
26,18,2,746,601436.498169,651433.297789,800
26,18,1,420,600533.971354,652093.880203,953
