t,AntennaId,EventCode,PhoneId,x,y,TileId
0,176,0,588,600029.313020,650219.237311,462
1,176,2,588,600029.313020,650219.237311,462
2,176,1,588,600748.638481,651070.446573,685
3,176,0,1573,600067.893067,650244.268220,462
3,176,0,1572,600067.893067,650244.268220,462
4,176,2,1573,600067.893067,650244.268220,462
4,176,2,1572,600067.893067,650244.268220,462
5,176,1,1573,600141.413321,649783.203166,328
5,176,1,1572,600141.413321,649783.203166,328
6,176,0,209,600069.009311,650204.749257,462
6,176,0,208,600069.009311,650204.749257,462
7,176,1,209,600238.178928,649874.418959,356
7,176,1,208,600238.178928,649874.418959,356
12,176,0,1026,600022.606049,650232.654005,462
12,176,0,1025,600022.606049,650232.654005,462
13,176,2,1026,600022.606049,650232.654005,462
13,176,2,1025,600022.606049,650232.654005,462
14,176,1,1026,600463.107978,650206.319631,466
14,176,1,1025,600463.107978,650206.319631,466
17,176,0,688,600037.454467,650200.571574,435
18,176,2,688,600037.454467,650200.571574,435
19,176,1,688,600390.290566,650176.493011,439
26,176,0,986,600070.686372,650270.300746,462
27,176,2,986,600070.686372,650270.300746,462
27,176,0,894,599990.423826,650263.293213,462
28,176,1,986,600084.099268,649859.241542,355
28,176,2,894,599990.423826,650263.293213,462
28,176,0,398,600018.871141,650172.178574,435
29,176,1,894,600334.161238,650396.882237,492
29,176,2,398,600018.871141,650172.178574,435
30,176,2,398,600018.871141,650172.178574,435
31,176,2,398,600018.871141,650172.178574,435
32,176,2,398,600018.871141,650172.178574,435
33,176,2,398,600018.871141,650172.178574,435
34,176,0,983,599983.290756,650215.107089,462
34,176,2,398,600018.871141,650172.178574,435
35,176,1,983,600277.798864,650460.869757,518
35,176,2,398,600018.871141,650172.178574,435
36,176,2,398,600018.871141,650172.178574,435
37,176,2,398,600018.871141,650172.178574,435
38,176,2,398,600018.871141,650172.178574,435
39,176,2,398,600018.871141,650172.178574,435
40,176,2,398,600018.871141,650172.178574,435
41,176,1,398,600202.332385,649851.060912,356
45,176,0,495,600014.181805,650244.532726,462
46,176,1,495,600301.001592,649949.234998,384
48,176,0,235,600031.363656,650185.080534,435
49,176,0,822,600035.093553,650248.780534,462
49,176,1,235,599980.470406,650647.762946,570
50,176,0,837,600084.652938,650247.395013,463
50,176,2,822,600035.093553,650248.780534,462
51,176,1,837,600506.778965,649183.086589,170
51,176,2,822,600035.093553,650248.780534,462
52,176,2,822,600035.093553,650248.780534,462
53,176,2,822,600035.093553,650248.780534,462
54,176,2,822,600035.093553,650248.780534,462
55,176,2,822,600035.093553,650248.780534,462
56,176,2,822,600035.093553,650248.780534,462
57,176,2,822,600035.093553,650248.780534,462
58,176,2,822,600035.093553,650248.780534,462
59,176,2,822,600035.093553,650248.780534,462
60,176,2,822,600035.093553,650248.780534,462
61,176,2,822,600035.093553,650248.780534,462
62,176,2,822,600035.093553,650248.780534,462
63,176,0,1448,600058.092773,650184.251203,435
63,176,2,822,600035.093553,650248.780534,462
64,176,2,1448,600058.092773,650184.251203,435
64,176,2,822,600035.093553,650248.780534,462
65,176,1,1448,600633.350735,649468.518161,252
65,176,2,822,600035.093553,650248.780534,462
66,176,2,822,600035.093553,650248.780534,462
67,176,2,822,600035.093553,650248.780534,462
68,176,2,822,600035.093553,650248.780534,462
68,176,0,235,600072.614216,650237.575659,462
69,176,2,822,600035.093553,650248.780534,462
69,176,2,235,600072.614216,650237.575659,462
70,176,2,822,600035.093553,650248.780534,462
70,176,1,235,600400.082499,649906.774115,385
71,176,2,822,600035.093553,650248.780534,462
72,176,2,822,600035.093553,650248.780534,462
73,176,2,822,600035.093553,650248.780534,462
74,176,2,822,600035.093553,650248.780534,462
75,176,2,822,600035.093553,650248.780534,462
75,176,0,780,600072.051315,650218.305955,462
76,176,2,822,600035.093553,650248.780534,462
76,176,2,780,600072.051315,650218.305955,462
77,176,2,822,600035.093553,650248.780534,462
77,176,2,780,600072.051315,650218.305955,462
78,176,2,822,600035.093553,650248.780534,462
78,176,2,780,600072.051315,650218.305955,462
