t,AntennaId,EventCode,PhoneId,x,y,TileId
0,38,0,963,601372.947787,650634.706403,583
0,38,0,964,601372.947787,650634.706403,583
0,38,0,1125,601332.671486,650686.320374,583
1,38,1,1125,601085.815678,651066.171967,689
1,38,1,964,600667.450119,651469.962141,792
1,38,1,963,600667.450119,651469.962141,792
1,38,0,357,601411.897474,650515.357690,557
2,38,1,357,601117.139734,650810.579741,635
3,38,0,1155,601245.846831,650558.412469,555
4,38,2,1155,601245.846831,650558.412469,555
5,38,1,1155,600480.515217,651199.044144,710
5,38,0,1064,601434.420641,650584.485379,557
5,38,0,1063,601434.420641,650584.485379,557
6,38,1,1064,601318.720510,649747.806425,340
6,38,1,1063,601318.720510,649747.806425,340
6,38,0,345,601331.881291,650534.117479,556
7,38,0,1028,601240.431828,650620.164514,582
7,38,1,345,601809.406228,649669.095827,318
8,38,1,1028,600585.387907,651506.600997,819
8,38,0,190,601215.795697,650575.739521,555
9,38,0,616,601286.652062,650652.305336,583
9,38,0,615,601286.652062,650652.305336,583
9,38,0,345,601193.874545,650442.020966,528
9,38,1,190,600392.605090,651135.377642,709
10,38,0,968,601325.572262,650589.635927,556
10,38,0,967,601325.572262,650589.635927,556
10,38,1,616,601221.588307,650258.935567,474
10,38,1,615,601221.588307,650258.935567,474
10,38,1,345,600534.585944,651177.976851,710
11,38,0,1335,601462.596107,650580.617022,557
11,38,2,968,601325.572262,650589.635927,556
11,38,2,967,601325.572262,650589.635927,556
12,38,1,1335,601706.966165,650264.072478,479
12,38,0,1202,601188.645333,650437.173386,528
12,38,1,968,600804.655774,651172.570746,713
12,38,1,967,600804.655774,651172.570746,713
12,38,0,345,601221.700115,650467.929923,528
13,38,0,1279,601402.905164,650488.913741,530
13,38,1,1202,600687.263036,651197.011069,712
13,38,0,948,601415.844191,650389.863637,503
13,38,1,345,601073.457127,649491.038660,256
14,38,1,1279,601781.365151,650397.985651,507
14,38,1,948,601777.515999,650157.426474,452
17,38,0,1484,601359.740809,650665.166116,583
17,38,0,1296,601188.292346,650547.590465,555
18,38,2,1484,601359.740809,650665.166116,583
18,38,1,1296,600472.263285,651348.278596,763
18,38,0,644,601364.517649,650587.611926,556
19,38,2,1484,601359.740809,650665.166116,583
19,38,0,1248,601242.304631,650403.877597,528
19,38,1,644,601320.189363,650188.559610,448
20,38,2,1484,601359.740809,650665.166116,583
20,38,2,1248,601242.304631,650403.877597,528
21,38,2,1484,601359.740809,650665.166116,583
21,38,0,1375,601239.631382,650504.562986,555
21,38,0,1374,601239.631382,650504.562986,555
