t,AntennaId,EventCode,PhoneId,x,y,TileId
6,201,0,268,600410.273702,650778.988449,601
7,201,2,268,600410.273702,650778.988449,601
8,201,2,268,600410.273702,650778.988449,601
9,201,2,268,600410.273702,650778.988449,601
10,201,2,268,600410.273702,650778.988449,601
11,201,2,268,600410.273702,650778.988449,601
12,201,0,292,600520.218761,650877.714860,629
12,201,0,291,600520.218761,650877.714860,629
12,201,2,268,600410.273702,650778.988449,601
13,201,1,292,600557.309976,651059.333424,683
13,201,1,291,600557.309976,651059.333424,683
13,201,2,268,600410.273702,650778.988449,601
14,201,2,268,600410.273702,650778.988449,601
15,201,2,268,600410.273702,650778.988449,601
16,201,2,268,600410.273702,650778.988449,601
17,201,2,268,600410.273702,650778.988449,601
18,201,2,268,600410.273702,650778.988449,601
19,201,2,268,600410.273702,650778.988449,601
20,201,2,268,600410.273702,650778.988449,601
21,201,2,268,600410.273702,650778.988449,601
22,201,2,268,600410.273702,650778.988449,601
23,201,2,268,600410.273702,650778.988449,601
24,201,2,268,600410.273702,650778.988449,601
25,201,2,268,600410.273702,650778.988449,601
26,201,2,268,600410.273702,650778.988449,601
27,201,2,268,600410.273702,650778.988449,601
28,201,2,268,600410.273702,650778.988449,601
29,201,2,268,600410.273702,650778.988449,601
30,201,2,268,600410.273702,650778.988449,601
31,201,2,268,600410.273702,650778.988449,601
32,201,2,268,600410.273702,650778.988449,601
33,201,2,268,600410.273702,650778.988449,601
34,201,1,268,601425.552067,651021.580236,692
42,201,0,270,600466.544422,650641.675489,574
43,201,1,270,599761.927820,649959.365071,378
47,201,0,253,600502.664411,650743.618927,602
48,201,2,253,600502.664411,650743.618927,602
49,201,0,284,600463.509336,650650.394670,574
49,201,0,283,600463.509336,650650.394670,574
49,201,2,253,600502.664411,650743.618927,602
