t,AntennaId,EventCode,PhoneId,x,y,TileId
0,63,0,419,601001.523581,651460.117340,796
0,63,0,420,601001.523581,651460.117340,796
0,63,0,519,601049.225053,651527.853886,823
0,63,0,520,601049.225053,651527.853886,823
0,63,0,567,601025.037243,651417.596669,796
1,63,1,567,600837.671380,651712.300017,875
1,63,1,520,600814.880932,651692.224656,848
1,63,1,519,600814.880932,651692.224656,848
1,63,1,420,600208.860476,651996.580538,923
1,63,1,419,600208.860476,651996.580538,923
1,63,0,326,601014.949708,651429.568050,796
1,63,0,325,601014.949708,651429.568050,796
2,63,0,644,601065.364461,651496.017363,796
2,63,1,326,600696.534638,651678.208312,847
2,63,1,325,600696.534638,651678.208312,847
3,63,0,948,600972.214189,651498.002428,795
3,63,1,644,600773.418447,651771.653485,874
4,63,1,948,600679.014193,651812.434127,901
5,63,0,1429,601086.688764,651475.552432,797
6,63,2,1429,601086.688764,651475.552432,797
7,63,1,1429,600429.365147,652172.497464,979
14,63,0,1477,601104.462501,651427.053737,797
14,63,0,1401,600974.602211,651494.252253,795
15,63,2,1477,601104.462501,651427.053737,797
15,63,2,1401,600974.602211,651494.252253,795
16,63,2,1477,601104.462501,651427.053737,797
16,63,2,1401,600974.602211,651494.252253,795
17,63,1,1477,601880.035690,650758.632824,616
17,63,2,1401,600974.602211,651494.252253,795
18,63,1,1401,601752.611030,651107.910322,722
18,63,0,1180,601063.417122,651415.043175,796
19,63,1,1180,600703.590456,651632.133506,847
20,63,0,562,601068.202950,651524.219029,823
21,63,1,562,601134.923014,651141.427681,716
24,63,0,862,601010.338769,651486.965677,796
25,63,1,862,601361.306509,651141.220549,718
30,63,0,531,601073.753163,651409.091305,796
31,63,1,531,601455.977376,651142.999129,719
36,63,0,1527,601067.707930,651388.628607,769
36,63,0,1526,601067.707930,651388.628607,769
37,63,1,1527,601102.619232,650572.669989,554
37,63,1,1526,601102.619232,650572.669989,554
37,63,0,1475,600975.010798,651496.590011,795
38,63,1,1475,600886.682505,651099.709063,687
39,63,0,800,601087.315338,651354.157868,770
39,63,0,799,601087.315338,651354.157868,770
40,63,0,1475,601098.238297,651361.775273,770
40,63,1,800,600901.660041,651718.081340,876
40,63,1,799,600901.660041,651718.081340,876
41,63,1,1475,601348.443608,651041.285527,691
42,63,0,1168,601051.697327,651494.759286,796
42,63,0,797,601089.504067,651395.551111,770
42,63,0,400,601109.143019,651475.725856,797
43,63,2,1168,601051.697327,651494.759286,796
43,63,0,933,601112.693425,651527.739544,824
43,63,2,797,601089.504067,651395.551111,770
43,63,1,400,601456.445853,651754.469914,881
44,63,0,1591,600961.937718,651536.714499,822
44,63,2,1168,601051.697327,651494.759286,796
44,63,2,933,601112.693425,651527.739544,824
44,63,1,797,600333.044902,651956.468839,924
45,63,1,1591,601348.158634,651470.738480,799
45,63,0,1539,601010.738899,651557.785081,823
45,63,0,1538,601010.738899,651557.785081,823
45,63,2,1168,601051.697327,651494.759286,796
45,63,1,933,600421.537792,652298.300401,1006
46,63,1,1539,600716.927353,651843.119542,901
46,63,1,1538,600716.927353,651843.119542,901
46,63,1,1168,600449.199657,652315.828686,1033
46,63,0,492,601032.553928,651449.345431,796
47,63,1,492,600972.799216,651057.862573,687
49,63,0,777,601015.829967,651492.355568,796
50,63,1,777,600224.989008,652192.250871,977
52,63,0,777,600988.830207,651462.984472,796
53,63,0,1422,601082.645082,651477.196094,797
53,63,0,1421,601082.645082,651477.196094,797
53,63,0,1007,600957.710556,651567.946644,822
53,63,2,777,600988.830207,651462.984472,796
54,63,1,1422,601366.223931,651534.729816,826
54,63,1,1421,601366.223931,651534.729816,826
54,63,1,1007,600720.153865,650549.298621,550
54,63,2,777,600988.830207,651462.984472,796
55,63,0,1010,601030.064679,651460.207663,796
55,63,2,777,600988.830207,651462.984472,796
56,63,1,1010,601233.059999,650252.785067,474
56,63,2,777,600988.830207,651462.984472,796
57,63,1,777,600404.262813,652342.509241,1033
57,63,0,453,601040.481012,651523.542355,823
58,63,0,627,601006.929785,651559.214467,823
58,63,0,626,601006.929785,651559.214467,823
58,63,1,453,601592.942264,650531.328490,559
59,63,1,627,600256.857155,652216.102337,1004
59,63,1,626,600256.857155,652216.102337,1004
64,63,0,1047,601092.230923,651438.748524,797
65,63,2,1047,601092.230923,651438.748524,797
66,63,2,1047,601092.230923,651438.748524,797
67,63,0,1236,601084.937804,651295.302477,743
67,63,2,1047,601092.230923,651438.748524,797
68,63,2,1236,601084.937804,651295.302477,743
68,63,2,1047,601092.230923,651438.748524,797
68,63,0,326,600967.146320,651562.238368,822
68,63,0,325,600967.146320,651562.238368,822
69,63,2,1236,601084.937804,651295.302477,743
69,63,0,1140,601050.324769,651555.175093,823
69,63,2,1047,601092.230923,651438.748524,797
69,63,0,656,601058.227825,651518.515625,823
69,63,0,655,601058.227825,651518.515625,823
69,63,1,326,601312.027246,651351.840451,772
69,63,1,325,601312.027246,651351.840451,772
70,63,2,1236,601084.937804,651295.302477,743
70,63,1,1140,601195.813139,650323.024114,501
70,63,2,1047,601092.230923,651438.748524,797
70,63,1,656,601103.901004,651178.613545,716
70,63,1,655,601103.901004,651178.613545,716
71,63,2,1236,601084.937804,651295.302477,743
71,63,2,1047,601092.230923,651438.748524,797
71,63,0,656,600993.605073,651503.350779,823
71,63,0,655,600993.605073,651503.350779,823
72,63,2,1236,601084.937804,651295.302477,743
72,63,1,1047,600830.698780,651697.185558,848
72,63,1,656,600936.975991,651165.101447,714
72,63,1,655,600936.975991,651165.101447,714
72,63,0,637,600958.976195,651580.458413,822
72,63,0,636,600958.976195,651580.458413,822
73,63,2,1236,601084.937804,651295.302477,743
73,63,1,637,600674.144944,651905.813465,927
73,63,1,636,600674.144944,651905.813465,927
74,63,1,1236,600817.683559,651593.759402,821
74,63,0,538,601043.861457,651420.202467,796
75,63,1,538,601780.707650,650642.680849,588
77,63,0,810,601011.067280,651491.827385,796
78,63,1,810,601159.038794,650491.917596,527
78,63,0,693,600941.997618,651579.262499,822
79,63,1,693,601233.406926,651289.479276,744
80,63,0,296,601047.957071,651402.260051,796
81,63,0,382,601027.463590,651393.217128,769
81,63,2,296,601047.957071,651402.260051,796
82,63,1,382,600764.670887,651660.145294,847
82,63,1,296,600284.817325,651979.366100,924
83,63,0,878,600922.215888,651576.968664,822
83,63,0,877,600922.215888,651576.968664,822
84,63,1,878,600673.858888,650404.549625,522
84,63,1,877,600673.858888,650404.549625,522
86,63,0,287,600929.033215,651593.638065,822
87,63,1,287,601736.031663,650885.357739,641
89,63,0,848,601012.169256,651518.319778,823
89,63,0,847,601012.169256,651518.319778,823
90,63,2,848,601012.169256,651518.319778,823
90,63,2,847,601012.169256,651518.319778,823
91,63,1,848,600516.822400,652315.890481,1034
91,63,1,847,600516.822400,652315.890481,1034
91,63,0,616,600950.975551,651547.292066,822
91,63,0,615,600950.975551,651547.292066,822
92,63,1,616,600971.870870,651945.458430,930
92,63,1,615,600971.870870,651945.458430,930
93,63,0,1511,601013.869518,651502.263411,823
93,63,0,935,601039.266389,651438.449695,796
93,63,0,616,600962.491613,651546.854495,822
93,63,0,615,600962.491613,651546.854495,822
94,63,1,1511,601469.183912,651528.098628,827
94,63,2,935,601039.266389,651438.449695,796
94,63,1,616,600944.963604,651148.525691,714
94,63,1,615,600944.963604,651148.525691,714
95,63,0,964,601045.530444,651498.871914,796
95,63,0,963,601045.530444,651498.871914,796
95,63,1,935,600396.004730,652244.168981,1006
96,63,2,964,601045.530444,651498.871914,796
96,63,2,963,601045.530444,651498.871914,796
97,63,2,964,601045.530444,651498.871914,796
97,63,2,963,601045.530444,651498.871914,796
98,63,2,964,601045.530444,651498.871914,796
98,63,2,963,601045.530444,651498.871914,796
99,63,2,964,601045.530444,651498.871914,796
99,63,2,963,601045.530444,651498.871914,796
100,63,1,964,600351.083132,652343.337446,1032
100,63,1,963,600351.083132,652343.337446,1032
102,63,0,524,601019.481673,651558.315421,823
102,63,0,308,600966.156302,651535.033567,822
103,63,0,890,601080.334609,651362.289859,770
103,63,0,889,601080.334609,651362.289859,770
103,63,1,524,600340.359019,652370.124180,1032
103,63,0,495,601009.584282,651451.528526,796
103,63,1,308,601704.524846,650806.423505,641
104,63,1,890,601170.263628,650979.594827,662
104,63,1,889,601170.263628,650979.594827,662
104,63,1,495,600885.972524,651058.862674,687
105,63,0,747,601111.717080,651461.397898,797
105,63,0,746,601111.717080,651461.397898,797
106,63,0,1568,601014.462034,651512.325345,823
106,63,0,1305,601009.780221,651526.575916,823
106,63,1,747,600572.393819,652183.707924,980
106,63,1,746,600572.393819,652183.707924,980
107,63,1,1568,600750.087682,651842.911101,901
107,63,1,1305,600728.463962,651854.922961,901
108,63,0,340,601106.745238,651476.302684,797
109,63,1,340,601299.757684,651034.067236,691
110,63,0,1527,600974.103951,651501.668188,795
110,63,0,1526,600974.103951,651501.668188,795
111,63,1,1527,601563.148992,650935.953415,666
111,63,1,1526,601563.148992,650935.953415,666
116,63,0,1339,601041.782851,651548.582820,823
116,63,0,1338,601041.782851,651548.582820,823
116,63,0,1077,600931.009276,651551.871454,822
116,63,0,867,600958.038180,651584.320178,822
116,63,0,866,600958.038180,651584.320178,822
117,63,1,1339,601011.600946,651167.508970,715
117,63,1,1338,601011.600946,651167.508970,715
