t,AntennaId,EventCode,PhoneId,x,y,TileId
0,115,0,1381,601794.524394,651206.748222,750
0,115,0,1382,601794.524394,651206.748222,750
0,115,0,1439,601875.857383,651150.162559,723
1,115,1,1439,601593.117631,651493.185405,802
1,115,1,1382,600954.458069,651826.627781,903
1,115,1,1381,600954.458069,651826.627781,903
2,115,0,1086,601706.251616,651208.518553,749
2,115,0,1085,601706.251616,651208.518553,749
3,115,2,1086,601706.251616,651208.518553,749
3,115,2,1085,601706.251616,651208.518553,749
4,115,1,1086,600889.728250,651948.918481,930
4,115,1,1085,600889.728250,651948.918481,930
6,115,0,197,601833.148281,651143.245710,723
7,115,2,197,601833.148281,651143.245710,723
8,115,2,197,601833.148281,651143.245710,723
9,115,0,582,601770.876159,651109.207663,722
9,115,2,197,601833.148281,651143.245710,723
10,115,1,582,601689.977618,650145.670301,452
10,115,2,197,601833.148281,651143.245710,723
11,115,0,509,601746.037347,651126.390668,722
11,115,0,508,601746.037347,651126.390668,722
11,115,2,197,601833.148281,651143.245710,723
12,115,1,509,601736.688273,650747.485601,614
12,115,1,508,601736.688273,650747.485601,614
12,115,2,197,601833.148281,651143.245710,723
13,115,1,197,601180.761011,651819.487974,906
15,115,0,676,601800.605365,651118.841223,723
16,115,0,1548,601751.019334,651245.366755,749
16,115,2,676,601800.605365,651118.841223,723
17,115,1,1548,601772.862052,650234.302499,479
17,115,1,676,601539.994448,651367.372255,774
18,115,0,1401,601752.611030,651107.910322,722
18,115,0,777,601833.754237,651109.101653,723
19,115,2,1401,601752.611030,651107.910322,722
19,115,2,777,601833.754237,651109.101653,723
20,115,1,1401,601093.944571,651674.228524,851
20,115,1,777,601153.837355,651917.183265,932
21,115,0,1125,601868.651436,651202.942064,750
21,115,0,978,601897.899050,651106.266821,724
21,115,0,977,601897.899050,651106.266821,724
22,115,2,1125,601868.651436,651202.942064,750
22,115,1,978,601756.805334,650057.524256,425
22,115,1,977,601756.805334,650057.524256,425
23,115,0,1604,601891.300091,651158.723037,724
23,115,0,1603,601891.300091,651158.723037,724
23,115,1,1125,601473.159389,651423.874325,800
24,115,1,1604,601831.679361,650203.985549,480
24,115,1,1603,601831.679361,650203.985549,480
25,115,0,1479,601738.256969,651260.331306,749
26,115,0,1539,601792.016885,651118.582615,723
26,115,0,1538,601792.016885,651118.582615,723
26,115,1,1479,601679.360514,651686.139485,857
27,115,1,1539,601915.030053,650727.930930,616
27,115,1,1538,601915.030053,650727.930930,616
43,115,0,948,601692.115999,651166.970833,722
43,115,0,582,601708.432135,651212.223429,749
43,115,0,509,601835.925081,651185.516213,723
43,115,0,508,601835.925081,651185.516213,723
44,115,1,948,601882.960043,650781.727946,616
44,115,1,582,601558.129595,650257.049116,477
44,115,2,509,601835.925081,651185.516213,723
44,115,2,508,601835.925081,651185.516213,723
45,115,1,509,601571.658956,651457.214337,801
45,115,1,508,601571.658956,651457.214337,801
49,115,0,1264,601799.097920,651229.250701,750
50,115,2,1264,601799.097920,651229.250701,750
51,115,1,1264,601192.902692,651929.164032,933
56,115,0,1511,601710.884104,651173.233699,722
57,115,2,1511,601710.884104,651173.233699,722
57,115,0,1439,601758.507372,651233.569348,749
57,115,0,384,601835.853252,651251.095852,750
58,115,2,1511,601710.884104,651173.233699,722
58,115,2,1439,601758.507372,651233.569348,749
58,115,2,384,601835.853252,651251.095852,750
59,115,2,1511,601710.884104,651173.233699,722
59,115,1,1439,601403.075690,651500.542678,800
59,115,1,384,601211.456190,651947.968067,933
60,115,2,1511,601710.884104,651173.233699,722
61,115,2,1511,601710.884104,651173.233699,722
61,115,0,1240,601911.144096,651048.570274,697
61,115,0,1239,601911.144096,651048.570274,697
62,115,2,1511,601710.884104,651173.233699,722
62,115,2,1240,601911.144096,651048.570274,697
62,115,2,1239,601911.144096,651048.570274,697
63,115,2,1511,601710.884104,651173.233699,722
63,115,1,1240,601690.831825,651343.735764,776
63,115,1,1239,601690.831825,651343.735764,776
63,115,0,744,601896.558838,651165.881465,724
64,115,1,1511,601332.785845,651428.224607,799
64,115,2,744,601896.558838,651165.881465,724
65,115,1,744,601654.758165,651469.091598,802
73,115,0,1514,601905.428380,651035.682406,697
73,115,0,314,601792.200135,651089.495194,696
73,115,0,313,601792.200135,651089.495194,696
74,115,2,1514,601905.428380,651035.682406,697
74,115,2,314,601792.200135,651089.495194,696
74,115,2,313,601792.200135,651089.495194,696
75,115,1,1514,601026.476077,651894.492828,904
75,115,2,314,601792.200135,651089.495194,696
75,115,2,313,601792.200135,651089.495194,696
76,115,2,314,601792.200135,651089.495194,696
76,115,2,313,601792.200135,651089.495194,696
77,115,0,1573,601717.187409,651204.654832,749
77,115,0,1572,601717.187409,651204.654832,749
77,115,1,314,600737.830415,651970.991563,928
77,115,1,313,600737.830415,651970.991563,928
78,115,1,1573,601725.131925,650737.832493,614
78,115,1,1572,601725.131925,650737.832493,614
81,115,0,400,601776.186863,651175.530495,722
82,115,2,400,601776.186863,651175.530495,722
83,115,2,400,601776.186863,651175.530495,722
84,115,2,400,601776.186863,651175.530495,722
85,115,2,400,601776.186863,651175.530495,722
85,115,0,340,601781.508367,651233.359551,750
86,115,2,400,601776.186863,651175.530495,722
86,115,2,340,601781.508367,651233.359551,750
87,115,0,1305,601704.850412,651134.811946,722
87,115,0,1155,601854.845845,651185.391564,723
87,115,2,400,601776.186863,651175.530495,722
87,115,1,340,601417.980392,651550.650280,827
88,115,1,1305,601420.060234,651460.150500,800
88,115,2,1155,601854.845845,651185.391564,723
88,115,2,400,601776.186863,651175.530495,722
89,115,1,1155,601134.277265,651875.987208,905
89,115,1,400,601488.148006,651515.164306,828
90,115,0,791,601716.144478,651139.253014,722
91,115,2,791,601716.144478,651139.253014,722
92,115,2,791,601716.144478,651139.253014,722
93,115,0,1594,601847.793372,651167.908689,723
93,115,0,1593,601847.793372,651167.908689,723
93,115,0,852,601912.096139,651065.573991,697
93,115,2,791,601716.144478,651139.253014,722
94,115,1,1594,601824.003355,650747.463223,615
94,115,1,1593,601824.003355,650747.463223,615
94,115,1,852,601906.844423,650673.426085,589
94,115,2,791,601716.144478,651139.253014,722
95,115,2,791,601716.144478,651139.253014,722
96,115,2,791,601716.144478,651139.253014,722
97,115,2,791,601716.144478,651139.253014,722
98,115,2,791,601716.144478,651139.253014,722
99,115,2,791,601716.144478,651139.253014,722
100,115,2,791,601716.144478,651139.253014,722
101,115,2,791,601716.144478,651139.253014,722
101,115,0,489,601764.049377,651238.669865,749
101,115,0,488,601764.049377,651238.669865,749
102,115,0,1527,601735.061783,651244.107007,749
102,115,0,1526,601735.061783,651244.107007,749
102,115,1,791,600921.385824,651785.105383,876
102,115,2,489,601764.049377,651238.669865,749
102,115,2,488,601764.049377,651238.669865,749
103,115,1,1527,601952.293832,650456.822115,535
103,115,1,1526,601952.293832,650456.822115,535
103,115,2,489,601764.049377,651238.669865,749
103,115,2,488,601764.049377,651238.669865,749
104,115,2,489,601764.049377,651238.669865,749
104,115,2,488,601764.049377,651238.669865,749
105,115,2,489,601764.049377,651238.669865,749
105,115,2,488,601764.049377,651238.669865,749
106,115,2,489,601764.049377,651238.669865,749
106,115,2,488,601764.049377,651238.669865,749
107,115,2,489,601764.049377,651238.669865,749
107,115,2,488,601764.049377,651238.669865,749
108,115,1,489,600987.914223,651885.286401,904
108,115,1,488,600987.914223,651885.286401,904
108,115,0,384,601893.383012,651090.705146,697
109,115,2,384,601893.383012,651090.705146,697
110,115,2,384,601893.383012,651090.705146,697
111,115,2,384,601893.383012,651090.705146,697
112,115,0,1315,601858.635010,651042.362648,696
112,115,0,1314,601858.635010,651042.362648,696
112,115,0,432,601934.852877,651060.542709,697
112,115,0,431,601934.852877,651060.542709,697
112,115,1,384,602106.291179,650179.567018,456
113,115,1,1315,601746.249514,650060.713290,425
113,115,1,1314,601746.249514,650060.713290,425
113,115,2,432,601934.852877,651060.542709,697
113,115,2,431,601934.852877,651060.542709,697
114,115,1,432,601309.054138,651688.050006,853
114,115,1,431,601309.054138,651688.050006,853
118,115,0,680,601727.782832,651247.075332,749
119,115,2,680,601727.782832,651247.075332,749
120,115,1,680,601453.454931,651620.340767,854
125,115,0,1296,601930.525439,651025.760467,697
126,115,2,1296,601930.525439,651025.760467,697
127,115,1,1296,601251.609295,651858.149780,906
129,115,0,292,601774.006853,651089.634770,695
130,115,2,292,601774.006853,651089.634770,695
131,115,1,292,601260.599959,651838.908559,906
132,115,0,834,601719.401137,651116.602371,722
132,115,0,833,601719.401137,651116.602371,722
133,115,2,834,601719.401137,651116.602371,722
133,115,2,833,601719.401137,651116.602371,722
133,115,0,520,601884.415425,651077.743008,697
133,115,0,519,601884.415425,651077.743008,697
134,115,2,834,601719.401137,651116.602371,722
134,115,2,833,601719.401137,651116.602371,722
134,115,2,520,601884.415425,651077.743008,697
134,115,2,519,601884.415425,651077.743008,697
135,115,0,1047,601719.673850,651163.755194,722
135,115,2,834,601719.401137,651116.602371,722
135,115,2,833,601719.401137,651116.602371,722
135,115,2,520,601884.415425,651077.743008,697
135,115,2,519,601884.415425,651077.743008,697
136,115,1,1047,601487.455650,651448.822677,801
136,115,2,834,601719.401137,651116.602371,722
136,115,2,833,601719.401137,651116.602371,722
136,115,2,520,601884.415425,651077.743008,697
136,115,2,519,601884.415425,651077.743008,697
137,115,2,834,601719.401137,651116.602371,722
137,115,2,833,601719.401137,651116.602371,722
137,115,2,520,601884.415425,651077.743008,697
137,115,2,519,601884.415425,651077.743008,697
138,115,2,834,601719.401137,651116.602371,722
138,115,2,833,601719.401137,651116.602371,722
138,115,2,520,601884.415425,651077.743008,697
138,115,2,519,601884.415425,651077.743008,697
139,115,2,834,601719.401137,651116.602371,722
139,115,2,833,601719.401137,651116.602371,722
139,115,2,520,601884.415425,651077.743008,697
139,115,2,519,601884.415425,651077.743008,697
140,115,2,834,601719.401137,651116.602371,722
140,115,2,833,601719.401137,651116.602371,722
140,115,2,520,601884.415425,651077.743008,697
140,115,2,519,601884.415425,651077.743008,697
141,115,2,834,601719.401137,651116.602371,722
141,115,2,833,601719.401137,651116.602371,722
141,115,2,520,601884.415425,651077.743008,697
141,115,2,519,601884.415425,651077.743008,697
142,115,2,834,601719.401137,651116.602371,722
142,115,2,833,601719.401137,651116.602371,722
142,115,2,520,601884.415425,651077.743008,697
142,115,2,519,601884.415425,651077.743008,697
143,115,2,834,601719.401137,651116.602371,722
143,115,2,833,601719.401137,651116.602371,722
143,115,2,520,601884.415425,651077.743008,697
143,115,2,519,601884.415425,651077.743008,697
144,115,2,834,601719.401137,651116.602371,722
144,115,2,833,601719.401137,651116.602371,722
144,115,2,520,601884.415425,651077.743008,697
144,115,2,519,601884.415425,651077.743008,697
145,115,2,834,601719.401137,651116.602371,722
145,115,2,833,601719.401137,651116.602371,722
145,115,2,520,601884.415425,651077.743008,697
145,115,2,519,601884.415425,651077.743008,697
146,115,0,1142,601831.627087,651087.940269,696
146,115,2,834,601719.401137,651116.602371,722
146,115,2,833,601719.401137,651116.602371,722
146,115,2,520,601884.415425,651077.743008,697
146,115,2,519,601884.415425,651077.743008,697
147,115,0,1429,601938.631500,651041.974946,697
147,115,1,1142,601690.991042,650728.816870,614
147,115,2,834,601719.401137,651116.602371,722
147,115,2,833,601719.401137,651116.602371,722
147,115,2,520,601884.415425,651077.743008,697
147,115,2,519,601884.415425,651077.743008,697
148,115,1,1429,602073.994382,650093.563851,428
148,115,2,834,601719.401137,651116.602371,722
148,115,2,833,601719.401137,651116.602371,722
148,115,2,520,601884.415425,651077.743008,697
148,115,2,519,601884.415425,651077.743008,697
149,115,2,834,601719.401137,651116.602371,722
149,115,2,833,601719.401137,651116.602371,722
149,115,2,520,601884.415425,651077.743008,697
149,115,2,519,601884.415425,651077.743008,697
150,115,0,1411,601773.901264,651191.561362,722
150,115,0,1086,601877.019312,651146.974086,723
150,115,0,1085,601877.019312,651146.974086,723
150,115,2,834,601719.401137,651116.602371,722
150,115,2,833,601719.401137,651116.602371,722
150,115,2,520,601884.415425,651077.743008,697
150,115,2,519,601884.415425,651077.743008,697
151,115,1,1411,601047.766346,651656.902223,850
151,115,2,1086,601877.019312,651146.974086,723
151,115,2,1085,601877.019312,651146.974086,723
151,115,2,834,601719.401137,651116.602371,722
151,115,2,833,601719.401137,651116.602371,722
151,115,2,520,601884.415425,651077.743008,697
151,115,2,519,601884.415425,651077.743008,697
151,115,0,460,601779.078654,651206.236170,750
152,115,1,1086,601201.534598,650275.984499,474
152,115,1,1085,601201.534598,650275.984499,474
152,115,2,834,601719.401137,651116.602371,722
152,115,2,833,601719.401137,651116.602371,722
152,115,0,577,601733.470136,651231.627837,749
152,115,0,576,601733.470136,651231.627837,749
152,115,2,520,601884.415425,651077.743008,697
152,115,2,519,601884.415425,651077.743008,697
152,115,1,460,601010.386487,651592.559834,823
153,115,2,834,601719.401137,651116.602371,722
153,115,2,833,601719.401137,651116.602371,722
153,115,1,577,601333.924385,652157.313418,988
153,115,1,576,601333.924385,652157.313418,988
153,115,2,520,601884.415425,651077.743008,697
153,115,2,519,601884.415425,651077.743008,697
154,115,2,834,601719.401137,651116.602371,722
154,115,2,833,601719.401137,651116.602371,722
154,115,2,520,601884.415425,651077.743008,697
154,115,2,519,601884.415425,651077.743008,697
155,115,2,834,601719.401137,651116.602371,722
155,115,2,833,601719.401137,651116.602371,722
155,115,2,520,601884.415425,651077.743008,697
155,115,2,519,601884.415425,651077.743008,697
156,115,2,834,601719.401137,651116.602371,722
156,115,2,833,601719.401137,651116.602371,722
156,115,2,520,601884.415425,651077.743008,697
156,115,2,519,601884.415425,651077.743008,697
157,115,2,834,601719.401137,651116.602371,722
157,115,2,833,601719.401137,651116.602371,722
157,115,2,520,601884.415425,651077.743008,697
157,115,2,519,601884.415425,651077.743008,697
157,115,0,303,601752.133513,651196.234327,722
158,115,2,834,601719.401137,651116.602371,722
158,115,2,833,601719.401137,651116.602371,722
158,115,2,520,601884.415425,651077.743008,697
158,115,2,519,601884.415425,651077.743008,697
158,115,1,303,601086.927810,650749.996756,608
159,115,1,834,601122.187967,650458.620219,527
159,115,1,833,601122.187967,650458.620219,527
159,115,2,520,601884.415425,651077.743008,697
159,115,2,519,601884.415425,651077.743008,697
160,115,2,520,601884.415425,651077.743008,697
160,115,2,519,601884.415425,651077.743008,697
161,115,2,520,601884.415425,651077.743008,697
161,115,2,519,601884.415425,651077.743008,697
162,115,0,1346,601770.908894,651125.517427,722
162,115,2,520,601884.415425,651077.743008,697
162,115,2,519,601884.415425,651077.743008,697
163,115,2,1346,601770.908894,651125.517427,722
163,115,2,520,601884.415425,651077.743008,697
163,115,2,519,601884.415425,651077.743008,697
164,115,1,1346,600924.739982,650366.069405,498
164,115,2,520,601884.415425,651077.743008,697
164,115,2,519,601884.415425,651077.743008,697
165,115,0,639,601892.955260,651038.610626,697
165,115,2,520,601884.415425,651077.743008,697
165,115,2,519,601884.415425,651077.743008,697
166,115,2,639,601892.955260,651038.610626,697
166,115,2,520,601884.415425,651077.743008,697
166,115,2,519,601884.415425,651077.743008,697
167,115,1,639,601031.699117,650459.849639,526
167,115,2,520,601884.415425,651077.743008,697
167,115,2,519,601884.415425,651077.743008,697
168,115,0,1312,601758.871871,651161.533213,722
168,115,0,1311,601758.871871,651161.533213,722
168,115,2,520,601884.415425,651077.743008,697
168,115,2,519,601884.415425,651077.743008,697
169,115,1,1312,600929.231428,650775.193471,606
169,115,1,1311,600929.231428,650775.193471,606
169,115,2,520,601884.415425,651077.743008,697
169,115,2,519,601884.415425,651077.743008,697
169,115,0,345,601878.791381,651075.619098,697
170,115,1,520,601690.618267,650867.083143,641
170,115,1,519,601690.618267,650867.083143,641
170,115,2,345,601878.791381,651075.619098,697
171,115,2,345,601878.791381,651075.619098,697
172,115,2,345,601878.791381,651075.619098,697
173,115,2,345,601878.791381,651075.619098,697
174,115,0,562,601688.507229,651105.123583,722
174,115,2,345,601878.791381,651075.619098,697
175,115,2,562,601688.507229,651105.123583,722
175,115,1,345,601106.783017,650458.937974,527
176,115,1,562,601488.303653,650772.108101,612
189,115,0,1378,601845.257582,651157.391200,723
189,115,0,810,601751.517765,651154.190322,722
190,115,2,1378,601845.257582,651157.391200,723
190,115,1,810,600746.694096,651044.442657,685
191,115,1,1378,601513.314560,650879.459785,639
200,115,0,212,601875.745044,651161.302578,723
200,115,0,211,601875.745044,651161.302578,723
201,115,1,212,601510.170199,651454.794819,801
201,115,1,211,601510.170199,651454.794819,801
204,115,0,591,601803.511870,651109.301291,723
204,115,0,590,601803.511870,651109.301291,723
205,115,2,591,601803.511870,651109.301291,723
205,115,2,590,601803.511870,651109.301291,723
206,115,1,591,601505.519235,650821.058726,639
206,115,1,590,601505.519235,650821.058726,639
206,115,0,405,601850.917799,651261.722300,750
207,115,2,405,601850.917799,651261.722300,750
208,115,1,405,601599.195818,650991.599206,667
211,115,0,986,601810.765984,651285.891322,750
212,115,2,986,601810.765984,651285.891322,750
213,115,2,986,601810.765984,651285.891322,750
214,115,2,986,601810.765984,651285.891322,750
215,115,0,1427,601763.379341,651267.565345,749
215,115,1,986,601507.717285,651007.842656,693
216,115,2,1427,601763.379341,651267.565345,749
217,115,1,1427,601504.206157,650976.198346,666
217,115,0,492,601747.129397,651208.714374,749
218,115,1,492,601600.498191,651576.584926,829
220,115,0,1344,601762.235329,651123.149613,722
221,115,2,1344,601762.235329,651123.149613,722
222,115,1,1344,601072.422724,650326.852999,499
223,115,0,1539,601701.982121,651132.351676,722
223,115,0,1538,601701.982121,651132.351676,722
224,115,1,1539,601488.687099,651481.988934,801
224,115,1,1538,601488.687099,651481.988934,801
226,115,0,1142,601772.935944,651265.293588,749
227,115,2,1142,601772.935944,651265.293588,749
228,115,1,1142,601463.345238,651035.289875,692
231,115,0,374,601740.403359,651128.386965,722
232,115,2,374,601740.403359,651128.386965,722
233,115,1,374,601041.401632,650430.858923,526
240,115,0,913,601707.019635,651099.534911,695
241,115,2,913,601707.019635,651099.534911,695
242,115,1,913,601490.641005,650810.213042,639
242,115,0,695,601832.226660,651117.492514,723
243,115,0,807,601845.234611,651177.331003,723
243,115,2,695,601832.226660,651117.492514,723
244,115,1,807,600838.877518,650680.265461,578
244,115,2,695,601832.226660,651117.492514,723
245,115,2,695,601832.226660,651117.492514,723
246,115,2,695,601832.226660,651117.492514,723
247,115,0,1180,601879.856746,651074.907240,697
247,115,1,695,601474.692702,651161.405547,719
248,115,0,1261,601828.652080,651254.106304,750
248,115,2,1180,601879.856746,651074.907240,697
248,115,0,695,601824.216900,651074.275065,696
248,115,0,567,601792.987124,651123.678742,723
249,115,2,1261,601828.652080,651254.106304,750
249,115,1,1180,601587.298749,650773.223201,613
249,115,2,695,601824.216900,651074.275065,696
249,115,2,567,601792.987124,651123.678742,723
250,115,2,1261,601828.652080,651254.106304,750
250,115,0,1209,601726.646693,651170.515423,722
250,115,1,695,601551.007512,650839.508124,639
250,115,2,567,601792.987124,651123.678742,723
251,115,2,1261,601828.652080,651254.106304,750
251,115,2,1209,601726.646693,651170.515423,722
251,115,2,567,601792.987124,651123.678742,723
252,115,2,1261,601828.652080,651254.106304,750
252,115,1,1209,600992.533568,650317.961889,499
252,115,2,567,601792.987124,651123.678742,723
253,115,2,1261,601828.652080,651254.106304,750
253,115,2,567,601792.987124,651123.678742,723
254,115,2,1261,601828.652080,651254.106304,750
254,115,2,567,601792.987124,651123.678742,723
255,115,2,1261,601828.652080,651254.106304,750
255,115,1,567,601550.256032,650872.605750,639
256,115,2,1261,601828.652080,651254.106304,750
257,115,2,1261,601828.652080,651254.106304,750
258,115,2,1261,601828.652080,651254.106304,750
259,115,2,1261,601828.652080,651254.106304,750
260,115,2,1261,601828.652080,651254.106304,750
261,115,2,1261,601828.652080,651254.106304,750
262,115,1,1261,601569.834809,650950.254533,666
263,115,0,562,601901.870679,651137.419714,724
264,115,2,562,601901.870679,651137.419714,724
265,115,1,562,601601.912843,650890.425625,640
270,115,0,212,601925.152243,651071.185639,697
270,115,0,211,601925.152243,651071.185639,697
271,115,2,212,601925.152243,651071.185639,697
271,115,2,211,601925.152243,651071.185639,697
272,115,1,212,601591.404893,650741.951119,613
272,115,1,211,601591.404893,650741.951119,613
281,115,0,978,601700.248178,651193.552850,722
281,115,0,977,601700.248178,651193.552850,722
282,115,2,978,601700.248178,651193.552850,722
282,115,2,977,601700.248178,651193.552850,722
283,115,1,978,600885.483182,650518.329622,552
283,115,1,977,600885.483182,650518.329622,552
285,115,0,606,601839.014581,651155.717300,723
286,115,2,606,601839.014581,651155.717300,723
287,115,0,1172,601862.762250,651137.239555,723
287,115,2,606,601839.014581,651155.717300,723
288,115,2,1172,601862.762250,651137.239555,723
288,115,2,606,601839.014581,651155.717300,723
289,115,2,1172,601862.762250,651137.239555,723
289,115,2,606,601839.014581,651155.717300,723
290,115,2,1172,601862.762250,651137.239555,723
290,115,1,606,601639.837916,650796.582756,613
291,115,2,1172,601862.762250,651137.239555,723
292,115,2,1172,601862.762250,651137.239555,723
293,115,2,1172,601862.762250,651137.239555,723
294,115,2,1172,601862.762250,651137.239555,723
295,115,2,1172,601862.762250,651137.239555,723
296,115,2,1172,601862.762250,651137.239555,723
296,115,0,574,601920.282127,651076.830171,697
297,115,2,1172,601862.762250,651137.239555,723
297,115,1,574,601024.778498,651411.329936,796
298,115,2,1172,601862.762250,651137.239555,723
298,115,0,852,601792.098408,651129.681781,723
299,115,2,1172,601862.762250,651137.239555,723
299,115,2,852,601792.098408,651129.681781,723
