t,AntennaId,EventCode,PhoneId,x,y,TileId
0,60,0,636,600232.616749,651210.469269,734
0,60,0,637,600232.616749,651210.469269,734
0,60,0,1384,600022.139222,651209.440677,732
1,60,0,1397,600036.771809,651129.115292,705
1,60,0,1396,600036.771809,651129.115292,705
1,60,2,1384,600022.139222,651209.440677,732
1,60,0,894,600271.304258,651213.049677,734
1,60,0,670,600229.918734,651224.378001,734
1,60,1,637,599943.893657,651532.375665,812
1,60,1,636,599943.893657,651532.375665,812
1,60,0,527,599994.227870,651106.567929,705
2,60,2,1397,600036.771809,651129.115292,705
2,60,2,1396,600036.771809,651129.115292,705
2,60,1,1384,600272.992281,650931.214702,653
2,60,1,894,599971.417317,651427.687181,785
2,60,2,670,600229.918734,651224.378001,734
2,60,2,527,599994.227870,651106.567929,705
3,60,2,1397,600036.771809,651129.115292,705
3,60,2,1396,600036.771809,651129.115292,705
3,60,1,670,600044.344506,650345.209019,489
3,60,1,527,599943.560503,650732.442960,596
3,60,0,190,600359.888256,651246.720277,735
4,60,2,1397,600036.771809,651129.115292,705
4,60,2,1396,600036.771809,651129.115292,705
4,60,0,557,600167.264031,651154.881839,706
4,60,1,190,600527.742427,650265.566579,467
5,60,0,1552,600033.753048,651114.004944,705
5,60,1,1397,600845.664723,651947.388141,929
5,60,1,1396,600845.664723,651947.388141,929
5,60,0,680,600316.306104,651256.021595,735
5,60,1,557,600402.609085,651475.901667,790
6,60,2,1552,600033.753048,651114.004944,705
6,60,0,1401,600153.257785,651211.495919,733
6,60,1,680,600279.013075,650794.294282,600
7,60,2,1552,600033.753048,651114.004944,705
7,60,2,1401,600153.257785,651211.495919,733
7,60,0,1296,600063.303721,651204.956746,732
8,60,2,1552,600033.753048,651114.004944,705
8,60,2,1401,600153.257785,651211.495919,733
8,60,1,1296,600051.612733,650130.869961,435
9,60,2,1552,600033.753048,651114.004944,705
9,60,2,1401,600153.257785,651211.495919,733
9,60,0,1296,600196.209824,651195.243383,707
10,60,2,1552,600033.753048,651114.004944,705
10,60,2,1401,600153.257785,651211.495919,733
10,60,1,1296,601246.146738,651422.028695,798
11,60,2,1552,600033.753048,651114.004944,705
11,60,2,1401,600153.257785,651211.495919,733
12,60,2,1552,600033.753048,651114.004944,705
