t,AntennaId,EventCode,PhoneId,x,y,TileId
8,170,0,878,600412.546979,648667.094067,34
8,170,0,877,600412.546979,648667.094067,34
9,170,2,878,600412.546979,648667.094067,34
9,170,2,877,600412.546979,648667.094067,34
10,170,2,878,600412.546979,648667.094067,34
10,170,2,877,600412.546979,648667.094067,34
11,170,2,878,600412.546979,648667.094067,34
11,170,2,877,600412.546979,648667.094067,34
12,170,2,878,600412.546979,648667.094067,34
12,170,2,877,600412.546979,648667.094067,34
13,170,2,878,600412.546979,648667.094067,34
13,170,2,877,600412.546979,648667.094067,34
14,170,2,878,600412.546979,648667.094067,34
14,170,2,877,600412.546979,648667.094067,34
15,170,2,878,600412.546979,648667.094067,34
15,170,2,877,600412.546979,648667.094067,34
16,170,2,878,600412.546979,648667.094067,34
16,170,2,877,600412.546979,648667.094067,34
17,170,1,878,601546.201908,649055.776591,153
17,170,1,877,601546.201908,649055.776591,153
37,170,0,882,600391.207162,648606.834991,34
37,170,0,881,600391.207162,648606.834991,34
38,170,1,882,601340.237823,648804.144153,97
38,170,1,881,601340.237823,648804.144153,97
74,170,0,203,600407.278129,648626.736710,34
75,170,1,203,600766.004062,648604.505922,37
88,170,0,913,600371.303150,648649.519860,33
89,170,1,913,600612.598447,648918.412840,117
94,170,0,1346,600455.018635,648552.657630,7
94,170,0,837,600401.953585,648687.626504,34
94,170,0,203,600470.309228,648558.566967,7
95,170,1,1346,600352.064634,649684.984260,303
95,170,2,837,600401.953585,648687.626504,34
95,170,2,203,600470.309228,648558.566967,7
96,170,2,837,600401.953585,648687.626504,34
96,170,2,203,600470.309228,648558.566967,7
97,170,2,837,600401.953585,648687.626504,34
97,170,2,203,600470.309228,648558.566967,7
98,170,2,837,600401.953585,648687.626504,34
98,170,2,203,600470.309228,648558.566967,7
99,170,2,837,600401.953585,648687.626504,34
99,170,2,203,600470.309228,648558.566967,7
100,170,2,837,600401.953585,648687.626504,34
100,170,2,203,600470.309228,648558.566967,7
100,170,0,184,600384.987613,648629.042310,34
101,170,2,837,600401.953585,648687.626504,34
101,170,2,203,600470.309228,648558.566967,7
101,170,1,184,600190.203801,649040.085536,140
102,170,0,1378,600387.271257,648691.478543,34
102,170,2,837,600401.953585,648687.626504,34
102,170,1,203,600197.966655,648793.104866,59
103,170,2,1378,600387.271257,648691.478543,34
103,170,2,837,600401.953585,648687.626504,34
104,170,0,1413,600430.790882,648642.657088,34
104,170,1,1378,600070.393546,648986.471014,111
104,170,2,837,600401.953585,648687.626504,34
105,170,2,1413,600430.790882,648642.657088,34
