t,AntennaId,EventCode,PhoneId,x,y,TileId
0,87,0,425,601174.489435,652434.215477,1067
0,87,0,602,601115.174065,652367.780103,1040
0,87,0,1077,601037.811523,652526.615316,1093
1,87,1,1077,600740.419129,652788.634384,1144
1,87,1,602,600822.433407,652690.318889,1118
1,87,2,425,601174.489435,652434.215477,1067
2,87,2,425,601174.489435,652434.215477,1067
2,87,0,359,601059.781269,652273.366963,1012
3,87,0,1190,601027.230766,652275.265036,1012
3,87,0,1189,601027.230766,652275.265036,1012
3,87,0,678,601023.081990,652292.679256,1012
3,87,2,425,601174.489435,652434.215477,1067
3,87,2,359,601059.781269,652273.366963,1012
3,87,0,184,601057.634425,652557.187153,1093
4,87,1,1190,600981.309223,651220.767947,742
4,87,1,1189,600981.309223,651220.767947,742
4,87,0,834,601133.182104,652489.964343,1067
4,87,0,833,601133.182104,652489.964343,1067
4,87,2,678,601023.081990,652292.679256,1012
4,87,2,425,601174.489435,652434.215477,1067
4,87,1,359,600544.010557,653016.178100,1223
4,87,1,184,601097.197867,653010.322895,1229
5,87,0,1019,601022.471915,652528.802304,1093
5,87,2,834,601133.182104,652489.964343,1067
5,87,2,833,601133.182104,652489.964343,1067
5,87,1,678,600332.464245,652992.502230,1194
5,87,2,425,601174.489435,652434.215477,1067
6,87,2,1019,601022.471915,652528.802304,1093
6,87,1,834,600597.991141,653199.312434,1251
6,87,1,833,600597.991141,653199.312434,1251
6,87,2,425,601174.489435,652434.215477,1067
7,87,1,1019,600337.795921,653156.953137,1248
7,87,0,656,601071.030942,652473.615286,1066
7,87,0,655,601071.030942,652473.615286,1066
7,87,2,425,601174.489435,652434.215477,1067
8,87,1,656,601112.053474,652814.109949,1175
8,87,1,655,601112.053474,652814.109949,1175
8,87,2,425,601174.489435,652434.215477,1067
9,87,2,425,601174.489435,652434.215477,1067
10,87,2,425,601174.489435,652434.215477,1067
11,87,0,773,601130.413006,652412.611828,1067
11,87,2,425,601174.489435,652434.215477,1067
12,87,2,773,601130.413006,652412.611828,1067
12,87,2,425,601174.489435,652434.215477,1067
13,87,1,773,600881.379764,652681.453955,1119
13,87,2,425,601174.489435,652434.215477,1067
14,87,2,425,601174.489435,652434.215477,1067
15,87,0,506,601036.131745,652274.642029,1012
