t,AntennaId,EventCode,PhoneId,x,y,TileId
0,70,0,340,600926.239154,651489.668476,795
0,70,0,1459,601051.047361,651130.939659,715
1,70,2,1459,601051.047361,651130.939659,715
1,70,1,340,600606.693902,651851.216298,900
2,70,2,1459,601051.047361,651130.939659,715
3,70,2,1459,601051.047361,651130.939659,715
3,70,0,1118,600945.204481,651361.790356,768
3,70,0,1117,600945.204481,651361.790356,768
3,70,0,797,601081.388026,651227.338476,743
3,70,0,400,601089.096970,651145.573951,716
4,70,2,1459,601051.047361,651130.939659,715
4,70,0,1190,600981.309223,651220.767947,742
4,70,0,1189,600981.309223,651220.767947,742
4,70,1,1118,600614.268317,651669.208071,846
4,70,1,1117,600614.268317,651669.208071,846
4,70,0,1103,600976.342526,651379.943361,768
4,70,0,1064,600831.547994,651176.061885,713
4,70,0,1063,600831.547994,651176.061885,713
4,70,1,797,600966.342527,650292.660083,471
4,70,0,420,601026.018668,651118.523549,715
4,70,0,419,601026.018668,651118.523549,715
4,70,2,400,601089.096970,651145.573951,716
4,70,0,217,600941.222883,651231.788137,741
5,70,2,1459,601051.047361,651130.939659,715
5,70,1,1190,600903.547031,650168.139836,444
5,70,1,1189,600903.547031,650168.139836,444
5,70,1,1103,601802.105113,651008.112019,696
5,70,1,1064,601434.420641,650584.485379,557
5,70,1,1063,601434.420641,650584.485379,557
5,70,0,857,600842.263051,651244.161598,740
5,70,2,420,601026.018668,651118.523549,715
5,70,2,419,601026.018668,651118.523549,715
5,70,2,400,601089.096970,651145.573951,716
5,70,0,374,601004.014714,651367.217142,769
5,70,1,217,600725.061044,651505.925666,820
6,70,2,1459,601051.047361,651130.939659,715
6,70,0,1180,600929.931113,651445.457725,795
6,70,2,857,600842.263051,651244.161598,740
6,70,0,453,600943.738686,651386.614657,768
6,70,1,420,600377.637498,651822.589896,897
6,70,1,419,600377.637498,651822.589896,897
6,70,2,400,601089.096970,651145.573951,716
6,70,2,374,601004.014714,651367.217142,769
7,70,2,1459,601051.047361,651130.939659,715
7,70,1,1180,601037.608832,651039.244787,688
7,70,2,857,600842.263051,651244.161598,740
7,70,1,453,600361.787314,652361.824577,1032
7,70,2,400,601089.096970,651145.573951,716
7,70,1,374,600227.769768,651977.620753,923
8,70,2,1459,601051.047361,651130.939659,715
8,70,2,857,600842.263051,651244.161598,740
8,70,0,726,600994.186233,651388.994894,769
8,70,0,725,600994.186233,651388.994894,769
8,70,0,570,600876.964100,651444.075716,794
8,70,0,569,600876.964100,651444.075716,794
8,70,2,400,601089.096970,651145.573951,716
9,70,0,1591,600777.985928,651203.054873,739
9,70,0,1532,600872.553229,651238.068484,740
9,70,2,1459,601051.047361,651130.939659,715
9,70,0,968,600875.436931,651228.811314,740
9,70,0,967,600875.436931,651228.811314,740
9,70,2,857,600842.263051,651244.161598,740
9,70,1,726,601096.493207,650935.918472,662
9,70,1,725,601096.493207,650935.918472,662
9,70,1,570,600759.056325,651082.366806,685
9,70,1,569,600759.056325,651082.366806,685
9,70,2,400,601089.096970,651145.573951,716
10,70,2,1591,600777.985928,651203.054873,739
10,70,0,1570,601032.918036,651129.982086,715
10,70,1,1532,601179.414997,650944.530356,663
10,70,2,1459,601051.047361,651130.939659,715
10,70,0,1246,601042.756240,651335.612355,769
10,70,0,1092,600874.138861,651275.719630,740
10,70,0,1091,600874.138861,651275.719630,740
10,70,1,968,601325.572262,650589.635927,556
10,70,1,967,601325.572262,650589.635927,556
10,70,2,857,600842.263051,651244.161598,740
10,70,1,400,600764.185708,651450.123094,793
11,70,2,1591,600777.985928,651203.054873,739
11,70,1,1570,601804.989832,650242.884181,480
11,70,2,1459,601051.047361,651130.939659,715
11,70,1,1246,600988.190220,651725.097613,877
11,70,1,1092,600178.144500,651741.010166,869
11,70,1,1091,600178.144500,651741.010166,869
11,70,0,948,601066.282075,651127.039133,715
11,70,2,857,600842.263051,651244.161598,740
12,70,2,1591,600777.985928,651203.054873,739
12,70,2,1459,601051.047361,651130.939659,715
12,70,0,1246,601046.255112,651336.118584,769
12,70,0,968,600804.655774,651172.570746,713
12,70,0,967,600804.655774,651172.570746,713
12,70,1,948,601118.404382,650700.287687,581
12,70,2,857,600842.263051,651244.161598,740
13,70,2,1591,600777.985928,651203.054873,739
13,70,0,1570,601045.065226,651140.409748,715
13,70,2,1459,601051.047361,651130.939659,715
13,70,1,1246,600954.197953,650953.755281,660
13,70,1,968,600339.627467,651800.993904,870
13,70,1,967,600339.627467,651800.993904,870
13,70,2,857,600842.263051,651244.161598,740
13,70,0,447,601021.789249,651275.066859,742
13,70,0,314,601019.531665,651323.141545,769
13,70,0,313,601019.531665,651323.141545,769
14,70,2,1591,600777.985928,651203.054873,739
14,70,1,1570,600168.637396,651924.572875,922
14,70,2,1459,601051.047361,651130.939659,715
14,70,0,1375,600813.359194,651204.551200,740
14,70,0,1374,600813.359194,651204.551200,740
14,70,1,857,600068.261543,651829.051595,894
14,70,1,447,601077.679500,650917.392443,661
14,70,2,314,601019.531665,651323.141545,769
14,70,2,313,601019.531665,651323.141545,769
15,70,2,1591,600777.985928,651203.054873,739
15,70,2,1459,601051.047361,651130.939659,715
15,70,1,1375,600731.462379,650871.158433,631
15,70,1,1374,600731.462379,650871.158433,631
15,70,0,862,600917.132165,651256.007611,741
15,70,1,314,600058.720851,652305.777761,1029
15,70,1,313,600058.720851,652305.777761,1029
16,70,1,1591,601117.329873,651398.925029,770
16,70,0,1532,600989.377724,651390.938617,769
16,70,2,1459,601051.047361,651130.939659,715
16,70,1,862,601297.597195,651569.000278,826
16,70,0,744,600926.314616,651535.220845,822
17,70,0,1552,600846.630727,651179.532643,713
17,70,1,1532,600675.355160,651676.803281,846
17,70,2,1459,601051.047361,651130.939659,715
17,70,0,777,600805.706478,651350.763943,767
17,70,1,744,601195.955451,651256.477647,744
18,70,1,1552,600662.472866,651493.051146,792
18,70,2,1459,601051.047361,651130.939659,715
18,70,1,777,601833.754237,651109.101653,723
18,70,0,744,600932.281927,651540.872132,822
18,70,0,577,601027.209448,651097.659291,688
18,70,0,576,601027.209448,651097.659291,688
18,70,0,303,600831.493131,651266.232988,740
19,70,0,1552,600822.824281,651166.714827,713
19,70,2,1459,601051.047361,651130.939659,715
19,70,0,1335,600790.291343,651249.072725,740
19,70,0,1125,601063.188553,651141.475543,715
19,70,0,1118,600858.877214,651210.728271,740
19,70,0,1117,600858.877214,651210.728271,740
19,70,2,744,601028.322810,651165.132728,715
19,70,2,577,601027.209448,651097.659291,688
19,70,2,576,601027.209448,651097.659291,688
19,70,1,303,601050.056679,650495.612088,526
20,70,1,1552,600654.705877,651489.118567,792
20,70,2,1459,601051.047361,651130.939659,715
20,70,1,1335,600505.952740,651530.264354,818
20,70,0,1261,600743.330431,651165.937379,712
20,70,1,1125,601450.309714,651376.767340,773
20,70,1,1118,600748.840447,650772.645737,604
20,70,1,1117,600748.840447,650772.645737,604
20,70,1,744,600801.782934,651479.908260,794
20,70,2,577,601027.209448,651097.659291,688
20,70,2,576,601027.209448,651097.659291,688
20,70,0,506,600977.365202,651347.221037,768
20,70,0,209,601019.208902,651317.050660,769
20,70,0,208,601019.208902,651317.050660,769
21,70,0,1488,600861.946285,651331.976146,767
21,70,0,1487,600861.946285,651331.976146,767
21,70,2,1459,601051.047361,651130.939659,715
21,70,2,1261,600743.330431,651165.937379,712
21,70,0,1118,600906.391507,651195.968380,714
21,70,0,1117,600906.391507,651195.968380,714
21,70,2,577,601027.209448,651097.659291,688
21,70,2,576,601027.209448,651097.659291,688
21,70,0,557,600999.609947,651283.928674,742
21,70,2,506,600977.365202,651347.221037,768
21,70,0,420,601038.163293,651138.948270,715
21,70,0,419,601038.163293,651138.948270,715
21,70,1,209,600729.469696,651548.972324,820
21,70,1,208,600729.469696,651548.972324,820
22,70,2,1488,600861.946285,651331.976146,767
22,70,2,1487,600861.946285,651331.976146,767
22,70,2,1459,601051.047361,651130.939659,715
22,70,0,1433,600909.101554,651393.073177,768
22,70,2,1261,600743.330431,651165.937379,712
22,70,1,1118,600916.703499,650744.395507,606
22,70,1,1117,600916.703499,650744.395507,606
22,70,0,791,601068.783772,651235.638867,742
22,70,2,577,601027.209448,651097.659291,688
22,70,2,576,601027.209448,651097.659291,688
22,70,1,557,600969.332987,651680.822023,849
22,70,0,522,600978.899755,651108.056237,715
22,70,2,506,600977.365202,651347.221037,768
22,70,1,420,601072.848545,650182.441869,445
22,70,1,419,601072.848545,650182.441869,445
23,70,2,1488,600861.946285,651331.976146,767
23,70,2,1487,600861.946285,651331.976146,767
23,70,2,1459,601051.047361,651130.939659,715
23,70,1,1433,601006.634824,651808.459899,904
23,70,2,1261,600743.330431,651165.937379,712
23,70,0,1160,600922.323031,651388.000530,768
23,70,0,1159,600922.323031,651388.000530,768
23,70,0,1135,600960.219032,651154.184261,714
23,70,2,791,601068.783772,651235.638867,742
23,70,2,577,601027.209448,651097.659291,688
23,70,2,576,601027.209448,651097.659291,688
23,70,1,522,601711.411990,650693.143993,587
23,70,2,506,600977.365202,651347.221037,768
24,70,0,1532,600942.952055,651249.013918,741
24,70,2,1488,600861.946285,651331.976146,767
24,70,2,1487,600861.946285,651331.976146,767
24,70,2,1459,601051.047361,651130.939659,715
24,70,2,1261,600743.330431,651165.937379,712
24,70,1,1160,601359.603344,651371.397821,772
24,70,1,1159,601359.603344,651371.397821,772
24,70,1,1135,601186.724273,650225.259502,474
24,70,0,887,600998.190428,651392.984974,769
24,70,2,791,601068.783772,651235.638867,742
24,70,2,577,601027.209448,651097.659291,688
24,70,2,576,601027.209448,651097.659291,688
24,70,2,506,600977.365202,651347.221037,768
25,70,1,1532,601161.995750,650885.216396,635
25,70,2,1488,600861.946285,651331.976146,767
25,70,2,1487,600861.946285,651331.976146,767
25,70,2,1459,601051.047361,651130.939659,715
25,70,0,1312,601023.081168,651149.050132,715
25,70,0,1311,601023.081168,651149.050132,715
25,70,2,1261,600743.330431,651165.937379,712
25,70,1,887,601315.730417,651609.676491,853
25,70,2,791,601068.783772,651235.638867,742
25,70,1,577,600302.300613,651798.400173,870
25,70,1,576,600302.300613,651798.400173,870
25,70,2,506,600977.365202,651347.221037,768
26,70,2,1488,600861.946285,651331.976146,767
26,70,2,1487,600861.946285,651331.976146,767
26,70,2,1459,601051.047361,651130.939659,715
26,70,1,1312,600907.990282,652056.968493,957
26,70,1,1311,600907.990282,652056.968493,957
26,70,2,1261,600743.330431,651165.937379,712
26,70,0,1209,601074.819571,651288.928525,742
26,70,2,791,601068.783772,651235.638867,742
26,70,0,656,600933.994713,651479.236299,795
26,70,0,655,600933.994713,651479.236299,795
26,70,1,506,601167.604278,651013.447864,689
27,70,1,1488,599993.101218,652098.971716,948
27,70,1,1487,599993.101218,652098.971716,948
27,70,2,1459,601051.047361,651130.939659,715
27,70,2,1261,600743.330431,651165.937379,712
27,70,1,1209,600200.909315,651997.483728,923
27,70,2,791,601068.783772,651235.638867,742
27,70,1,656,601094.865193,651176.349930,716
27,70,1,655,601094.865193,651176.349930,716
28,70,2,1459,601051.047361,651130.939659,715
28,70,1,1261,600950.403910,650824.714794,633
28,70,1,791,600293.807627,651905.100275,924
29,70,2,1459,601051.047361,651130.939659,715
30,70,2,1459,601051.047361,651130.939659,715
30,70,0,848,601041.787127,651188.726052,715
30,70,0,847,601041.787127,651188.726052,715
31,70,2,1459,601051.047361,651130.939659,715
31,70,2,848,601041.787127,651188.726052,715
31,70,2,847,601041.787127,651188.726052,715
32,70,2,1459,601051.047361,651130.939659,715
32,70,1,848,600382.324648,651857.005015,898
32,70,1,847,600382.324648,651857.005015,898
32,70,0,512,600992.348815,651097.698408,688
32,70,0,492,600840.513433,651419.811119,794
33,70,2,1459,601051.047361,651130.939659,715
33,70,2,512,600992.348815,651097.698408,688
33,70,2,492,600840.513433,651419.811119,794
33,70,0,476,600856.443745,651228.834223,740
34,70,0,1594,601073.247264,651229.798244,742
34,70,0,1593,601073.247264,651229.798244,742
34,70,2,1459,601051.047361,651130.939659,715
34,70,2,512,600992.348815,651097.698408,688
34,70,2,492,600840.513433,651419.811119,794
34,70,1,476,600605.688471,651497.330601,792
35,70,1,1594,600860.220329,651593.061068,821
35,70,1,1593,600860.220329,651593.061068,821
35,70,0,1475,600896.517101,651474.791839,795
35,70,2,1459,601051.047361,651130.939659,715
35,70,2,512,600992.348815,651097.698408,688
35,70,2,492,600840.513433,651419.811119,794
36,70,1,1475,600827.515725,651875.485219,902
36,70,2,1459,601051.047361,651130.939659,715
36,70,2,512,600992.348815,651097.698408,688
36,70,2,492,600840.513433,651419.811119,794
37,70,2,1459,601051.047361,651130.939659,715
37,70,0,890,600791.478250,651221.520180,740
37,70,0,889,600791.478250,651221.520180,740
37,70,0,574,600912.872110,651377.959330,768
37,70,1,512,600729.152150,651334.517739,766
37,70,2,492,600840.513433,651419.811119,794
38,70,2,1459,601051.047361,651130.939659,715
38,70,0,1222,601066.958633,651309.452238,769
38,70,1,890,600506.811704,651492.643166,791
38,70,1,889,600506.811704,651492.643166,791
38,70,0,680,600906.217299,651182.121361,714
38,70,1,574,600205.914360,652021.409080,950
38,70,0,570,600970.421170,651104.625616,714
38,70,0,569,600970.421170,651104.625616,714
38,70,2,492,600840.513433,651419.811119,794
39,70,2,1459,601051.047361,651130.939659,715
39,70,1,1222,600722.981462,650296.861919,469
39,70,1,680,600704.524694,651599.138117,820
39,70,0,644,601056.279829,651230.523306,742
39,70,1,570,600736.449562,651404.613726,793
39,70,1,569,600736.449562,651404.613726,793
39,70,2,492,600840.513433,651419.811119,794
40,70,2,1459,601051.047361,651130.939659,715
40,70,0,1268,600786.755993,651196.773006,713
40,70,0,1267,600786.755993,651196.773006,713
40,70,0,1209,600974.074381,651180.179996,714
40,70,0,948,600996.670862,651353.590886,769
40,70,0,935,600895.219087,651266.713430,741
40,70,0,680,600880.230563,651170.523687,714
40,70,1,644,601309.888024,650919.250707,664
40,70,2,492,600840.513433,651419.811119,794
41,70,2,1459,601051.047361,651130.939659,715
41,70,0,1312,600861.662661,651135.987589,713
