t;Person ID;x;y
2;274;600043.607742;652006.183093
2;272;599767.764248;650111.852675
2;271;600437.247097;653427.627064
2;269;600843.233523;651348.733208
2;267;600249.086878;651734.235542
2;266;601064.046893;649864.480407
2;265;600679.464210;653003.922650
2;264;600524.662379;652395.045922
2;263;599771.224912;649558.639780
2;262;600072.555986;650688.681523
2;261;600382.107612;652715.057413
2;260;600413.208323;649701.348815
2;258;600078.941324;651854.245087
2;256;600658.073690;652048.784732
2;255;601027.839567;652554.729750
2;254;600728.059264;649192.016620
2;252;600464.137508;649373.344469
2;251;599772.198240;649864.249419
2;250;600739.238871;649376.471531
2;249;600585.428412;652871.037887
2;248;599983.405572;650875.390118
2;247;600480.735969;650744.728896
2;244;599987.832676;651933.067514
2;243;600202.069316;652845.514751
2;240;600008.586770;650412.098893
2;239;600029.650354;650647.299448
2;238;600283.514429;648629.371179
2;237;600447.223996;651149.277552
2;236;600114.725614;652496.060253
2;235;599856.316193;649903.836766
2;233;601514.911596;650068.348954
2;232;600028.886450;648578.742008
2;231;601732.873640;649975.380220
2;229;601129.055069;653193.950076
3;300;599805.702091;650338.318144
3;298;600098.666177;649273.827706
3;295;600632.185614;653157.693777
3;294;601334.504409;650275.520800
3;293;600007.769011;650498.164005
3;290;600096.094826;651776.915437
3;288;600384.426337;650135.919067
3;287;600534.452067;652318.585027
3;286;599721.932095;649419.142274
3;285;599925.892507;649029.608290
3;282;601625.469723;650151.753035
3;281;601481.756130;651527.709758
3;279;599966.130508;648880.134212
3;278;601223.974746;652379.058548
3;277;601482.036960;651138.876871
3;275;601026.924381;649883.108971
3;274;600037.400263;651102.979977
3;272;600292.794358;650705.705462
3;271;600478.740094;653241.319499
3;269;600657.792821;650385.590535
3;267;601071.987545;651091.993044
3;266;600721.541518;650879.404022
3;265;600539.443171;653171.266360
3;264;600242.248698;653415.718555
3;263;600190.108587;648723.725952
3;262;599950.570582;650849.780008
3;261;600382.107612;652715.057413
3;260;600276.746362;649807.789117
3;258;600078.941324;651854.245087
3;256;600520.550439;652169.886369
3;255;601027.839567;652554.729750
3;254;600619.815947;649348.349979
3;252;600334.801717;649508.319291
3;251;599772.198240;649864.249419
3;250;600739.238871;649376.471531
3;249;600585.428412;652871.037887
3;248;599983.405572;650875.390118
3;247;601311.232808;650001.007542
3;244;599987.832676;651933.067514
3;243;600202.069316;652845.514751
3;240;600008.586770;650412.098893
3;239;600205.437806;650560.999587
3;238;600283.514429;648629.371179
3;237;600447.223996;651149.277552
3;236;600553.186767;651711.340895
3;235;600625.880327;649605.799574
3;233;601514.911596;650068.348954
3;232;600028.886450;648578.742008
3;231;601607.333938;650103.890750
3;229;601129.055069;653193.950076
4;300;599805.702091;650338.318144
4;298;599999.643143;649391.171996
4;295;600493.007166;653263.051499
4;294;601334.504409;650275.520800
4;293;600158.848185;650348.875788
4;290;599952.166551;651893.730302
4;288;600384.426337;650135.919067
4;287;600925.100339;653323.548060
4;286;599825.332580;649545.855204
4;285;599885.976396;649248.055863
4;282;601474.697887;650298.746395
4;281;601734.436614;650581.258048
4;279;600159.609128;648858.187850
4;278;600332.316045;653110.614881
4;277;601482.036960;651138.876871
4;275;601026.924381;649883.108971
4;274;600143.941501;650206.061159
4;272;600195.744990;649919.004013
4;271;600416.128243;653061.008840
4;269;601457.314435;649817.438046
4;267;601159.144747;650051.779337
4;266;601427.567027;650073.855850
4;265;600385.991404;653326.386841
4;264;600242.248698;653415.718555
4;263;600190.108587;648723.725952
4;262;599950.570582;650849.780008
4;261;600534.768986;651655.849335
4;260;600158.562293;649934.216687
4;258;600078.941324;651854.245087
4;256;600377.137792;652283.952418
4;255;601027.839567;652554.729750
4;254;600477.755845;649474.744846
