t,Person ID,x,y,Tile ID,Mobile Phone(s) ID
0,300,600619.720297,648855.895507,90
0,298,600431.357885,648956.498195,115,299
0,295,600995.281445,652785.571876,1147,297,296
0,294,600144.698023,651260.892388,733
0,293,599946.186746,650383.760602,488
0,290,600509.614350,651407.658028,791,292,291
0,288,600384.426337,650135.919067,439,289
0,287,600534.452067,652318.585027,1034
0,286,599834.879343,649446.266897,244
0,285,599840.872041,649051.369553,136
0,282,602103.592967,649742.183146,348,284,283
0,281,601111.360616,650890.741187,635
0,279,599917.314726,648764.937245,56,280
0,278,600884.307709,653481.263707,1335
0,277,600113.926266,651306.169307,760
0,275,601136.553094,649742.965420,338,276
0,274,600609.883491,651302.516852,765
0,272,600216.462154,649458.409534,248,273
0,271,600300.974162,653293.978776,1275
0,269,600008.765087,650833.277593,624,270
0,267,600564.455101,652729.315347,1142,268
0,266,599995.533285,649789.257105,327
0,265,600972.708092,652690.563873,1119
0,264,601095.766019,651503.210319,824
0,263,600438.542616,648905.010133,115
0,262,600368.069027,650413.730360,519
0,261,601791.230451,651107.411356,723
0,260,600656.242508,649459.352680,252
0,258,600203.078702,651730.080000,869,259
0,256,600901.554282,651774.870814,876,257
0,255,601027.839567,652554.729750,1093
0,254,600977.981785,648905.535809,120
0,252,600714.924071,649097.225440,145,253
0,251,599772.198240,649864.249419,351
0,250,600294.947433,650121.963221,438
0,249,600118.041593,651933.525784,922
0,248,600263.976780,650584.038938,545
0,247,601342.743010,650037.770401,421
0,244,600110.959703,651829.085065,895,246,245
0,243,600502.744926,652563.861453,1088
0,240,601462.694847,648964.107958,125,242,241
0,239,599837.074800,650682.845902,568
0,238,600283.514429,648629.371179,33
0,237,601308.475114,650437.954601,529
0,236,599991.829590,651605.594520,840
0,235,600522.560903,649416.832546,251
0,233,601514.911596,650068.348954,423,234
0,232,599960.914550,649489.863505,245
0,231,601987.409040,649724.380298,347
0,229,601129.055069,653193.950076,1256,230
1,300,599896.737463,649423.601401,245
1,298,600319.176858,649061.334547,141,299
1,295,600855.708095,652890.405888,1172,297,296
1,294,600144.698023,651260.892388,733
1,293,599798.918845,650536.809790,541
1,290,600364.633387,651523.163791,816,292,291
1,288,600384.426337,650135.919067,439,289
1,287,600534.452067,652318.585027,1034
1,286,599742.704377,649581.365390,270
