t,AntennaId,EventCode,PhoneId,x,y,TileId
0,75,0,844,601404.659142,650931.124443,665
0,75,0,855,601440.772260,650919.437270,665
0,75,0,1267,601341.241190,650755.676196,610
0,75,0,1268,601341.241190,650755.676196,610
0,75,0,1538,601460.545135,651024.366575,692
0,75,0,1539,601460.545135,651024.366575,692
1,75,1,1539,601222.884628,651357.920861,771
1,75,1,1538,601222.884628,651357.920861,771
1,75,2,1268,601341.241190,650755.676196,610
1,75,2,1267,601341.241190,650755.676196,610
1,75,2,855,601440.772260,650919.437270,665
1,75,2,844,601404.659142,650931.124443,665
1,75,0,432,601465.195085,650866.660676,638
1,75,0,431,601465.195085,650866.660676,638
2,75,2,1268,601341.241190,650755.676196,610
2,75,2,1267,601341.241190,650755.676196,610
2,75,2,855,601440.772260,650919.437270,665
2,75,2,844,601404.659142,650931.124443,665
2,75,1,432,600738.113171,651373.357192,766
2,75,1,431,600738.113171,651373.357192,766
2,75,0,400,601421.980841,650849.760096,638
3,75,0,1543,601451.235794,650934.022281,665
3,75,2,1268,601341.241190,650755.676196,610
3,75,2,1267,601341.241190,650755.676196,610
3,75,2,855,601440.772260,650919.437270,665
3,75,2,844,601404.659142,650931.124443,665
3,75,1,400,601089.096970,651145.573951,716
4,75,2,1543,601451.235794,650934.022281,665
4,75,2,1268,601341.241190,650755.676196,610
4,75,2,1267,601341.241190,650755.676196,610
4,75,0,1010,601399.297012,650922.674879,665
4,75,2,855,601440.772260,650919.437270,665
4,75,2,844,601404.659142,650931.124443,665
4,75,0,287,601472.462384,650975.898078,665
5,75,1,1543,600764.181370,651646.741308,847
5,75,2,1268,601341.241190,650755.676196,610
5,75,2,1267,601341.241190,650755.676196,610
5,75,2,1010,601399.297012,650922.674879,665
5,75,2,855,601440.772260,650919.437270,665
5,75,2,844,601404.659142,650931.124443,665
5,75,0,777,601469.832299,650934.555553,665
5,75,0,514,601440.453682,650999.885937,665
5,75,2,287,601472.462384,650975.898078,665
6,75,2,1268,601341.241190,650755.676196,610
6,75,2,1267,601341.241190,650755.676196,610
6,75,2,1010,601399.297012,650922.674879,665
6,75,2,855,601440.772260,650919.437270,665
